SYMBOL,NAME OF COMPANY,SERIES,ISIN NUMBER,EXCHANGE,MIC
ADANIENT,Adani Enterprises Limited,EQ,INE423A01024,BSE,XBOM
ADANIPORTS,Adani Ports and Special Economic Zone Limited,EQ,INE742F01042,BSE,XBOM
APOLLOHOSP,Apollo Hospitals Enterprise Limited,EQ,INE437A01024,BSE,XBOM
ASIANPAINT,Asian Paints Limited,EQ,INE021A01026,BSE,XBOM
AXISBANK,Axis Bank Limited,EQ,INE238A01034,BSE,XBOM
BAJAJ-AUTO,Bajaj Auto Limited,EQ,INE917I01010,BSE,XBOM
BAJAJFINSV,Bajaj Finserv Limited,EQ,INE918I01026,BSE,XBOM
BAJFINANCE,Bajaj Finance Limited,EQ,INE296A01032,BSE,XBOM
BEL,Bharat Electronics Limited,EQ,INE263A01024,BSE,XBOM
BHARTIARTL,Bharti Airtel Limited,EQ,INE397D01024,BSE,XBOM
BPCL,Bharat Petroleum Corporation Limited,EQ,INE029A01011,BSE,XBOM
BRITANNIA,Britannia Industries Limited,EQ,INE216A01030,BSE,XBOM
CIPLA,Cipla Limited,EQ,INE059A01026,BSE,XBOM
COALINDIA,Coal India Limited,EQ,INE522F01014,BSE,XBOM
DRREDDY,Dr. Reddy's Laboratories Limited,EQ,INE089A01031,BSE,XBOM
EICHERMOT,Eicher Motors Limited,EQ,INE066A01021,BSE,XBOM
GRASIM,Grasim Industries Limited,EQ,INE047A01021,BSE,XBOM
HCLTECH,HCL Technologies Limited,EQ,INE860A01027,BSE,XBOM
HDFCBANK,HDFC Bank Limited,EQ,INE040A01034,BSE,XBOM
HDFCLIFE,HDFC Life Insurance Company Limited,EQ,INE795G01014,BSE,XBOM
HEROMOTOCO,Hero MotoCorp Limited,EQ,INE158A01026,BSE,XBOM
HINDALCO,Hindalco Industries Limited,EQ,INE038A01020,BSE,XBOM
HINDUNILVR,Hindustan Unilever Limited,EQ,INE030A01027,BSE,XBOM
ICICIBANK,ICICI Bank Limited,EQ,INE090A01021,BSE,XBOM
INDUSINDBK,IndusInd Bank Limited,EQ,INE095A01012,BSE,XBOM
INFY,Infosys Limited,EQ,INE009A01021,BSE,XBOM
ITC,ITC Limited,EQ,INE154A01025,BSE,XBOM
JSWSTEEL,JSW Steel Limited,EQ,INE019A01038,BSE,XBOM
KOTAKBANK,Kotak Mahindra Bank Limited,EQ,INE237A01036,BSE,XBOM
LT,Larsen & Toubro Limited,EQ,INE018A01030,BSE,XBOM
M&M,Mahindra & Mahindra Limited,EQ,INE101A01026,BSE,XBOM
MARUTI,Maruti Suzuki India Limited,EQ,INE585B01010,BSE,XBOM
NESTLEIND,Nestle India Limited,EQ,INE239A01024,BSE,XBOM
NTPC,NTPC Limited,EQ,INE733E01010,BSE,XBOM
ONGC,Oil & Natural Gas Corporation Limited,EQ,INE213A01029,BSE,XBOM
POWERGRID,Power Grid Corporation of India Limited,EQ,INE752E01010,BSE,XBOM
RELIANCE,Reliance Industries Limited,EQ,INE002A01018,BSE,XBOM
SBILIFE,SBI Life Insurance Company Limited,EQ,INE123W01016,BSE,XBOM
SBIN,State Bank of India,EQ,INE062A01020,BSE,XBOM
SHRIRAMFIN,Shriram Finance Limited,EQ,INE721A01047,BSE,XBOM
SUNPHARMA,Sun Pharmaceutical Industries Limited,EQ,INE044A01036,BSE,XBOM
TATACONSUM,TATA CONSUMER PRODUCTS LIMITED,EQ,INE192A01025,BSE,XBOM
TATASTEEL,Tata Steel Limited,EQ,INE081A01020,BSE,XBOM
TCS,Tata Consultancy Services Limited,EQ,INE467B01029,BSE,XBOM
TECHM,Tech Mahindra Limited,EQ,INE669C01036,BSE,XBOM
TITAN,Titan Company Limited,EQ,INE280A01028,BSE,XBOM
TRENT,Trent Limited,EQ,INE849A01020,BSE,XBOM
ULTRACEMCO,UltraTech Cement Limited,EQ,INE481G01011,BSE,XBOM
WIPRO,Wipro Limited,EQ,INE075A01022,BSE,XBOM
